title,authors,journal,doi,all_authors
Molecular insights into the seasonal variation of fluorescent dissolved organic matter in a hydrologically isolated aquatic continuum,"Cheng Du, Zhibing Chang, Wenzhong Tang, ... , Hong Zhang (n=8)",Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2025.133620,Cheng Du; Zhibing Chang; Wenzhong Tang; Zhineng Hao; Meiyi Zhang; Xiaoyue Zhang; Muxing Liu; Hong Zhang
"Spatial and temporal variability in molecular characteristics of dissolved organic matter in a large freshwater lake: A case from the Dongting Lake, central China","Rui Xu, Yao Du, Tianming Wu, ... , Yanxin Wang (n=11)",Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2025.133831,Rui Xu; Yao Du; Tianming Wu; Xinrui Jiang; Baisong Deng; M. Li; Yiqun Gan; Mengjie Song; Shaobo Liao; Rui Zhang; Yanxin Wang
"Deciphering the impacts of main inflowing rivers on dissolved organic matter in Lake Daye using isotopes, optical spectroscopy, and FT-ICR MS during non-flood season","Xiaowen Lin, Xiaodong Wu, Bingfa Chen, ... , Zhenni Gao (n=8)",Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2025.134090,Xiaowen Lin; Xiaodong Wu; Bingfa Chen; Xuguang Ge; Chao Wu; Xincai Gu; Shunmei Zhu; Zhenni Gao
"Molecular characterization and transformation of dissolved organic matter in snow and meltwater from Baishui Glacier No. 1, Mt. Yulong","Lin Feng, Y. Liu, Hewen Niu, Jianzhong Xu",Journal of Mountain Science,https://doi.org/10.1007/s11629-025-9657-5,Lin Feng; Y. Liu; Hewen Niu; Jianzhong Xu
Evaluating the Chemical Reactivity of Wildfire-Derived Dissolved Organic Molecules: Glutathione Binding through Kendrick Mass Defect Analysis,"Hannah M. Hamontree, Patrick G. Hatcher",Journal of the American Society for Mass Spectrometry,https://doi.org/10.1021/jasms.5c00077,Hannah M. Hamontree; Patrick G. Hatcher
Decipher the Persistence of Soil Dissolved Organic Matter Under Different Land Use Types Using Potential Molecular Transformations,"Aoping Mao, Jingming Zheng, Ziteng Wang, ... , Anning Miao (n=8)",Land Degradation and Development,https://doi.org/10.1002/ldr.70156,Aoping Mao; Jingming Zheng; Ziteng Wang; Fuhong Sun; Yimin Sang; Xiuyuan Chen; Yimiao Li; Anning Miao
Interdecadal Dynamics in the Chemodiversity of Soil Dissolved Organic Matter After the Conversion of Chinese Fir Plantations to Citrus Orchard,"Junquan Chen, Yanqi Guo, Xinyue Ma, ... , Qin Zhang (n=8)",Land Degradation and Development,https://doi.org/10.1002/ldr.70323,Junquan Chen; Yanqi Guo; Xinyue Ma; Lan Li; Guanjie Jiang; Long Peng; Taihui Zheng; Qin Zhang
Molecular evidence for depth‐dependent microbial transformation of dissolved organic matter into carboxyl‐rich alicyclic molecules in coastal marginal seas,"Yang Liu, Zhengguo Cui, Shulian Xie, Chao Ma, Yuqiu Wei",Limnology and Oceanography,https://doi.org/10.1002/lno.70306,Yang Liu; Zhengguo Cui; Shulian Xie; Chao Ma; Yuqiu Wei
Refining resolution settings for analysis of dissolved organic matter in varied natural environments by Fourier‐transform ion cyclotron resonance mass spectrometry,"Shuchai Gan, Shi-Ting Huang, Pengran Guo, ... , Zheng Gong (n=9)",Limnology and Oceanography Methods,https://doi.org/10.1002/lom3.10696,Shuchai Gan; Shi-Ting Huang; Pengran Guo; Ying Wu; Faming Wang; Bin Jiang; Yumei Song; Jia-Chuan Pan; Zheng Gong
Seasonal dynamics of DOM diversity and molecular composition in the NW Mediterranean Sea,"Nawal Bouchachi, Hélène Lavanant, Carlos Afonso, ... , Ortega-Retuerta Eva (n=7)",Marine Chemistry,https://doi.org/10.1016/j.marchem.2025.104562,Nawal Bouchachi; Hélène Lavanant; Carlos Afonso; Schmitz Isabelle; Barbara Marie; Ingrid Obernosterer; Ortega-Retuerta Eva
Phages Shape the Transformation of Organic Matter During Composting,"Yuanyuan Bao, Jan Dolfing, Ruirui Chen, ... , Youzhi Feng (n=10)",Microbial Biotechnology,https://doi.org/10.1111/1751-7915.70291,Yuanyuan Bao; Jan Dolfing; Ruirui Chen; Chongwen Qiu; Jianwei Zhang; Xin Zhou; Liang Liu; Yiming Wang; Xu Lin; Youzhi Feng
Unraveling the Molecular Composition and Reactivity Differentiation of Algae- and Macrophyte-Derived Dissolved Organic Matter in Plateau Lakes: Insights from Optical Properties and High Resolution Mass Spectrometry Characterization,"Qiuxing Li, Runyu Zhang, Haijun Yuan, Liying Wang, Shuxia Xu",Molecules,https://doi.org/10.3390/molecules30173510,Qiuxing Li; Runyu Zhang; Haijun Yuan; Liying Wang; Shuxia Xu
Molecular-level insights into derivation dynamics of microplastic-derived dissolved organic matter,"Shiting Liu, Xiamu Zelang, Chao Ma, ... , Jiunian Guan (n=8)",New Contaminants,https://doi.org/10.48130/newcontam-0025-0016,Shiting Liu; Xiamu Zelang; Chao Ma; Zhuoyu Li; Xinyue Wang; Hanyu Ju; Jingjie Zhang; Jiunian Guan
Sachbericht zum Verwendungsnachweis,"Michael Seidel, Dariya Baiko, Thorsten Dittmar",Open MIND,,Michael Seidel; Dariya Baiko; Thorsten Dittmar
