year,title,authors_short,all_authors,journal,doi,subdisciplines,n_subdisciplines
2022,Nitrogen Enrichment during Soil Organic Matter Burning and Molecular Evidence of Maillard Reactions,"William Bahureksa, Robert B. Young, Amy M. McKenna et al. (n=7)",William Bahureksa; Robert B. Young; Amy M. McKenna; Huan Chen; Kevin A. Thorn; Fernando L. Rosario‐Ortiz; Thomas Borch,Environmental Science & Technology,https://doi.org/10.1021/acs.est.1c06745,atmosphere_aerosol; biogeochem_carbon; disturbance_anthropogenic; microbial_coupling; soil_terrestrial,5
2022,Unified Modeling Approach for Quantifying the Proton and Metal Binding Ability of Soil Dissolved Organic Matter,"Qianting Ye, Yang Ding, Zecong Ding et al. (n=5)",Qianting Ye; Yang Ding; Zecong Ding; Li Rong; Zhenqing Shi,Environmental Science & Technology,https://doi.org/10.1021/acs.est.2c08482,biogeochem_carbon; estuary_coastal; marine; soil_terrestrial,4
2022,Complex Mixture Analysis of Emerging Contaminants Generated from Coal Tar- and Petroleum-Derived Pavement Sealants: Molecular Compositions and Correlations with Toxicity Revealed by Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,"Taylor J. Glattke, Martha L. Chacón‐Patiño, Sarajeen Saima Hoque et al. (n=7)",Taylor J. Glattke; Martha L. Chacón‐Patiño; Sarajeen Saima Hoque; Thomas E. Ennis; Steve Greason; Alan G. Marshall; Ryan P. Rodgers,Environmental Science & Technology,https://doi.org/10.1021/acs.est.2c00582,atmosphere_aerosol; biogeochem_carbon; methods_instrumentation; petroleum_fossil,4
2022,Experimental Insight into the Enigmatic Persistence of Marine Refractory Dissolved Organic Matter,"Xiaoxuan Zheng, Ruanhong Cai, Hongwei Yao et al. (n=8)",Xiaoxuan Zheng; Ruanhong Cai; Hongwei Yao; Xiaocun Zhuo; Chen He; Qiang Zheng; Quan Shi; Nianzhi Jiao,Environmental Science & Technology,https://doi.org/10.1021/acs.est.2c04136,biogeochem_carbon; estuary_coastal; marine; microbial_coupling,4
2022,Of Sea and Smoke: Evidence of Marine Dissolved Organic Matter Deposition from 2020 Western United States Wildfires,"Elizabeth K. Coward, Kristi Seech, Melissa L. Carter et al. (n=5)",Elizabeth K. Coward; Kristi Seech; Melissa L. Carter; Reinhard E. Flick; Vicki H. Grassian,Environmental Science & Technology Letters,https://doi.org/10.1021/acs.estlett.2c00383,atmosphere_aerosol; biochar_black_carbon; biogeochem_carbon; disturbance_anthropogenic; marine,5
2022,A New Structural Classification Scheme for Dissolved Organic Sulfur in Urban Snow from North China,"Sihui Su, Qiaorong Xie, Alan Jay Smith et al. (n=13)",Sihui Su; Qiaorong Xie; Alan Jay Smith; Yunchao Lang; Wei Hu; Dong Cao; Siyao Yue; Shuang Chen; Jialei Zhu; Yisheng Xu; Nicholle G. A. Bell; Dušan Uhrı́n; Pingqing Fu,Environmental Science & Technology Letters,https://doi.org/10.1021/acs.estlett.2c00153,atmosphere_aerosol; biogeochem_carbon; cryosphere,3
2022,Impact of beaver ponds on biogeochemistry of organic carbon and nitrogen along a fire-impacted stream,"Holly K. Roth, Amelia R. Nelson, Amy M. McKenna et al. (n=8)",Holly K. Roth; Amelia R. Nelson; Amy M. McKenna; Timothy S. Fegel; Robert B. Young; Charles C. Rhoades; Michael J. Wilkins; Thomas Borch,Environmental Science Processes & Impacts,https://doi.org/10.1039/d2em00184e,biochar_black_carbon; biogeochem_carbon; disturbance_anthropogenic; freshwater_lake; freshwater_river; microbial_coupling; sediment_porewater; wetland_peatland,8
2022,Molecular Linkage of Dissolved Organic Matter in Groundwater with Prevalence of Chronic Kidney Disease with Unknown Etiology,"Xianjiang Zeng, Wei He, Huaming Guo et al. (n=7)",Xianjiang Zeng; Wei He; Huaming Guo; Chen He; Quan Shi; Qiutong Shi; Meththika Vithanage,Exposure and Health,https://doi.org/10.1007/s12403-022-00509-w,biogeochem_carbon; groundwater,2
2022,Bottom-up and top-down controls on Alteromonas macleodii lead to different dissolved organic matter compositions,Qi Chen,Qi Chen,Figshare,https://doi.org/10.6084/m9.figshare.21779609,biogeochem_carbon; marine; microbial_coupling; wastewater_drinking,4
2022,Spatial dynamics of dissolved organic matter among different segments of a large-scale reservoir in the water-level declining period,"Kai Wang, Shangbin Xiao, Jia Liu et al. (n=7)",Kai Wang; Shangbin Xiao; Jia Liu; Penghui Li; Chen He; Quan Shi; Ding He,Frontiers in Environmental Science,https://doi.org/10.3389/fenvs.2022.962706,biogeochem_carbon; disturbance_anthropogenic; estuary_coastal; freshwater_lake; freshwater_river; marine; microbial_coupling; soil_terrestrial,8
